order_id,customer_id,order_date,order_status
O60,C113,2025-01-05,Delivered
O61,C64,2025-01-12,Shipped
O62,C58,2023-09-17,Shipped
O63,C159,2023-05-03,Pending
O64,C170,2024-12-19,Cancelled
O65,C72,2025-12-05,Delivered
O66,C170,2022-10-26,Shipped
O67,C153,2025-04-08,Delivered
O68,C85,2025-12-08,Delivered
O69,C41,2024-07-17,Cancelled
O70,C44,2024-11-07,Shipped
O71,C106,2023-08-01,Cancelled
O72,C76,2024-11-09,Cancelled
O73,C88,2025-02-22,Shipped
O74,C35,2022-10-24,Shipped
O75,C155,2025-04-21,Shipped
O76,C7,2024-05-04,Cancelled
O77,C34,2022-02-24,Cancelled
O78,C101,2022-09-04,Shipped
O79,C84,2025-06-06,Shipped
O80,C195,2025-01-22,Pending
O81,C26,2024-03-13,Pending
O82,C162,2025-11-01,Shipped
O83,C185,2024-03-14,Delivered
O84,C199,2023-10-17,Shipped
O85,C186,2023-11-03,Pending
O86,C3,2023-01-18,Delivered
O87,C71,2022-12-26,Pending
O88,C108,2024-11-24,Cancelled
O89,C153,2022-10-12,Pending
O90,C147,2025-04-04,Cancelled
O91,C56,2025-03-15,Delivered
O92,C98,2023-08-04,Cancelled
O93,C6,2024-11-04,Pending
O94,C142,2022-04-10,Pending
O95,C192,2022-06-05,Pending
O96,C111,2025-08-06,Pending
O97,C50,2023-10-07,Shipped
O98,C198,2022-05-16,Cancelled
O99,C34,2023-11-19,Pending
O100,C86,2023-08-11,Shipped
O101,C50,2025-09-07,Shipped
O102,C143,2022-04-23,Shipped
O103,C152,2023-07-27,Cancelled
O104,C118,2025-03-14,Shipped
O105,C53,2023-06-27,Pending
O106,C21,2025-08-17,Pending
O107,C48,2023-08-09,Shipped
O108,C100,2024-09-14,Cancelled
O109,C104,2023-09-21,Shipped
O110,C200,2022-02-24,Delivered
O111,C142,2024-10-25,Cancelled
O112,C76,2025-01-02,Pending
O113,C37,2024-12-02,Pending
O114,C128,2023-08-22,Cancelled
O115,C71,2022-07-04,Delivered
O116,C79,2024-10-02,Delivered
O117,C174,2023-08-06,Delivered
O118,C73,2022-11-12,Cancelled
O119,C9,2023-05-28,Delivered
O120,C197,2025-02-12,Pending
O121,C107,2022-11-24,Cancelled
O122,C49,2023-02-17,Cancelled
O123,C117,2023-12-03,Shipped
O124,C178,2024-06-08,Delivered
O125,C63,2023-01-23,Pending
O126,C34,2025-08-22,Shipped
O127,C120,2024-02-25,Cancelled
O128,C29,2022-03-11,Pending
O129,C162,2024-03-11,Cancelled
O130,C63,2024-07-10,Delivered
O131,C155,2025-03-16,Shipped
O132,C167,2022-01-27,Cancelled
O133,C12,2025-10-23,Shipped
O134,C154,2023-12-04,Delivered
O135,C111,2023-04-18,Cancelled
O136,C27,2024-01-25,Shipped
O137,C64,2025-06-19,Pending
O138,C194,2022-03-04,Cancelled
O139,C98,2025-06-22,Delivered
O140,C110,2022-02-22,Shipped
O141,C6,2022-11-03,Cancelled
O142,C110,2024-05-06,Pending
O143,C66,2023-05-27,Shipped
O144,C97,2025-02-23,Cancelled
O145,C125,2023-09-28,Cancelled
O146,C96,2025-11-07,Shipped
O147,C149,2022-01-01,Pending
O148,C171,2024-04-24,Shipped
O149,C111,2024-01-28,Cancelled
O150,C108,2023-08-15,Shipped
O151,C100,2025-12-11,Pending
O152,C51,2022-01-12,Pending
O153,C112,2023-11-13,Shipped
O154,C84,2023-12-06,Shipped
O155,C115,2023-01-05,Shipped
O156,C142,2022-03-03,Pending
O157,C28,2023-05-14,Pending
O158,C178,2023-10-13,Delivered
O159,C13,2022-07-01,Pending
O160,C6,2022-12-10,Pending
O161,C200,2024-01-18,Cancelled
O162,C53,2025-02-12,Cancelled
O163,C181,2023-07-24,Shipped
O164,C61,2022-09-03,Cancelled
O165,C5,2023-03-19,Pending
O166,C60,2024-01-03,Delivered
O167,C128,2023-01-16,Pending
O168,C110,2025-11-07,Shipped
O169,C196,2023-10-15,Pending
O170,C137,2022-03-20,Cancelled
O171,C125,2022-01-06,Pending
O172,C168,2023-12-12,Cancelled
O173,C71,2023-11-21,Shipped
O174,C103,2022-02-04,Pending
O175,C42,2024-03-14,Delivered
O176,C4,2025-06-03,Pending
O177,C35,2025-05-09,Cancelled
O178,C156,2024-09-12,Pending
O179,C115,2022-02-15,Delivered
O180,C114,2025-10-13,Pending
O181,C199,2023-06-19,Delivered
O182,C168,2023-04-10,Pending
O183,C175,2022-02-16,Shipped
O184,C141,2025-07-06,Cancelled
O185,C6,2023-11-18,Cancelled
O186,C188,2023-05-25,Shipped
O187,C145,2022-02-13,Shipped
O188,C191,2023-11-03,Delivered
O189,C100,2025-04-06,Cancelled
O190,C180,2024-02-22,Shipped
O191,C88,2024-08-03,Pending
O192,C15,2022-06-22,Cancelled
O193,C134,2022-03-10,Pending
O194,C192,2024-07-25,Shipped
O195,C70,2022-09-28,Delivered
O196,C126,2022-08-08,Cancelled
O197,C139,2023-02-03,Delivered
O198,C32,2024-10-13,Shipped
O199,C13,2023-05-20,Shipped
O200,C69,2023-09-16,Shipped
O201,C64,2025-12-27,Cancelled
O202,C39,2022-07-16,Pending
O203,C59,2025-08-24,Pending
O204,C93,2022-03-27,Cancelled
O205,C18,2024-10-15,Cancelled
O206,C150,2023-09-04,Pending
O207,C75,2025-03-02,Cancelled
O208,C38,2022-01-02,Shipped
O209,C18,2024-06-17,Shipped
O210,C45,2025-12-18,Delivered
O211,C130,2024-06-10,Delivered
O212,C115,2023-10-19,Delivered
O213,C74,2023-12-18,Delivered
O214,C72,2024-12-28,Shipped
O215,C117,2022-07-06,Shipped
O216,C196,2024-09-21,Delivered
O217,C27,2025-03-10,Delivered
O218,C159,2025-02-26,Shipped
O219,C3,2022-07-10,Shipped
O220,C131,2024-01-23,Delivered
O221,C142,2022-04-05,Pending
O222,C193,2023-05-01,Pending
O223,C14,2022-09-10,Shipped
O224,C54,2023-05-11,Pending
O225,C91,2022-12-10,Delivered
O226,C156,2023-09-26,Shipped
O227,C184,2025-01-20,Pending
O228,C72,2025-01-26,Delivered
O229,C129,2024-01-28,Shipped
O230,C111,2025-09-05,Delivered
O231,C26,2023-01-08,Shipped
O232,C155,2022-03-03,Delivered
O233,C20,2024-02-26,Shipped
O234,C136,2022-07-12,Cancelled
O235,C102,2022-06-14,Cancelled
O236,C65,2025-05-15,Delivered
O237,C161,2023-09-20,Shipped
O238,C174,2025-07-14,Delivered
O239,C104,2024-03-28,Cancelled
O240,C96,2024-04-09,Pending
O241,C55,2022-09-20,Shipped
O242,C39,2024-07-13,Cancelled
O243,C153,2024-09-24,Delivered
O244,C13,2022-10-09,Cancelled
O245,C85,2022-11-18,Shipped
O246,C193,2023-03-01,Cancelled
O247,C13,2022-03-26,Cancelled
O248,C193,2025-11-23,Delivered
O249,C41,2022-01-25,Shipped
O250,C151,2023-07-10,Pending
O251,C99,2024-01-18,Pending
O252,C115,2022-04-27,Shipped
O253,C72,2025-02-26,Cancelled
O254,C28,2024-01-16,Cancelled
O255,C77,2025-12-23,Shipped
O256,C199,2023-09-16,Cancelled
O257,C77,2022-02-02,Pending
O258,C26,2023-04-02,Delivered
O259,C139,2025-11-16,Cancelled
O260,C99,2023-02-13,Pending
O261,C113,2022-08-22,Shipped
O262,C9,2024-10-28,Shipped
O263,C16,2025-12-12,Cancelled
O264,C71,2022-06-13,Cancelled
O265,C70,2024-07-06,Delivered
O266,C88,2025-02-19,Pending
O267,C137,2025-05-19,Delivered
O268,C80,2025-03-14,Cancelled
O269,C72,2024-04-06,Pending
O270,C105,2022-11-07,Shipped
O271,C64,2023-01-07,Delivered
O272,C155,2025-03-05,Shipped
O273,C34,2024-02-15,Cancelled
O274,C21,2022-02-25,Delivered
O275,C97,2024-11-11,Cancelled
O276,C94,2022-01-06,Cancelled
O277,C23,2023-04-27,Shipped
O278,C74,2022-01-17,Delivered
O279,C49,2022-01-28,Cancelled
O280,C129,2022-07-03,Delivered
O281,C32,2025-05-09,Pending
O282,C172,2023-07-01,Cancelled
O283,C195,2025-07-16,Pending
O284,C176,2024-11-03,Pending
O285,C9,2023-11-21,Cancelled
O286,C60,2023-10-01,Shipped
O287,C49,2023-02-14,Pending
O288,C68,2024-01-04,Pending
O289,C67,2022-02-13,Pending
O290,C119,2022-03-04,Pending
O291,C110,2022-09-22,Cancelled
O292,C194,2024-02-06,Delivered
O293,C7,2022-10-14,Shipped
O294,C45,2025-06-16,Delivered
O295,C33,2023-09-10,Shipped
O296,C138,2022-07-12,Pending
O297,C138,2025-11-22,Cancelled
O298,C119,2022-02-19,Pending
O299,C114,2024-02-09,Pending
O300,C132,2023-10-17,Delivered
O301,C89,2024-05-11,Pending
O302,C148,2024-08-19,Delivered
O303,C107,2024-05-14,Cancelled
O304,C127,2023-01-01,Delivered
O305,C46,2023-06-24,Pending
O306,C79,2022-07-07,Cancelled
O307,C188,2023-04-25,Delivered
O308,C52,2024-08-17,Cancelled
O309,C40,2023-02-13,Shipped
O310,C178,2023-03-25,Shipped
O311,C89,2022-07-20,Cancelled
O312,C11,2022-05-18,Delivered
O313,C27,2024-07-18,Delivered
O314,C184,2023-06-25,Cancelled
O315,C18,2025-09-15,Shipped
O316,C28,2022-01-14,Shipped
O317,C45,2024-06-21,Cancelled
O318,C75,2023-06-16,Pending
O319,C166,2022-05-27,Delivered
O320,C84,2023-12-07,Pending
O321,C3,2025-05-28,Delivered
O322,C92,2022-03-22,Shipped
O323,C99,2022-08-28,Delivered
O324,C174,2023-04-05,Delivered
O325,C182,2024-02-23,Pending
O326,C48,2023-10-21,Cancelled
O327,C119,2024-12-13,Shipped
O328,C148,2024-09-15,Cancelled
O329,C188,2024-10-25,Pending
O330,C109,2024-04-09,Cancelled
O331,C16,2022-07-11,Cancelled
O332,C76,2022-05-06,Cancelled
O333,C93,2023-06-20,Pending
O334,C148,2022-08-17,Pending
O335,C127,2022-03-20,Cancelled
O336,C159,2023-04-12,Cancelled
O337,C152,2023-04-14,Cancelled
O338,C102,2022-06-10,Delivered
O339,C132,2025-07-10,Pending
O340,C119,2025-10-08,Pending
O341,C54,2024-04-11,Cancelled
O342,C136,2024-10-13,Pending
O343,C198,2023-06-18,Cancelled
O344,C158,2025-11-23,Cancelled
O345,C125,2025-10-11,Shipped
O346,C143,2022-04-07,Shipped
O347,C77,2023-09-13,Delivered
O348,C21,2024-07-27,Delivered
O349,C107,2025-10-27,Delivered
O350,C96,2022-06-20,Cancelled
O351,C165,2025-08-01,Shipped
O352,C130,2024-03-14,Delivered
O353,C131,2025-12-11,Cancelled
O354,C100,2023-05-16,Cancelled
O355,C129,2024-12-27,Shipped
O356,C12,2024-05-11,Shipped
O357,C145,2025-06-06,Pending
O358,C78,2024-12-27,Cancelled
O359,C181,2025-05-15,Pending
O360,C193,2024-06-03,Pending
O361,C11,2022-08-12,Pending
O362,C186,2025-10-08,Cancelled
O363,C196,2023-10-01,Delivered
O364,C19,2023-08-05,Delivered
O365,C161,2022-08-01,Shipped
O366,C112,2022-03-23,Delivered
O367,C50,2025-03-19,Pending
O368,C133,2022-11-09,Pending
O369,C13,2024-03-04,Shipped
O370,C160,2023-01-26,Delivered
O371,C160,2023-10-16,Delivered
O372,C99,2023-09-11,Delivered
O373,C48,2023-11-13,Cancelled
O374,C64,2024-12-28,Delivered
O375,C146,2025-10-25,Delivered
O376,C132,2025-10-02,Pending
O377,C170,2022-09-13,Cancelled
O378,C49,2022-09-19,Delivered
O379,C128,2022-10-19,Shipped
O380,C135,2025-11-07,Pending
O381,C58,2025-01-07,Pending
O382,C95,2024-09-15,Shipped
O383,C90,2022-12-02,Cancelled
O384,C131,2022-07-18,Shipped
O385,C140,2022-11-20,Pending
O386,C66,2025-03-02,Pending
O387,C33,2022-08-22,Pending
O388,C52,2023-07-12,Pending
O389,C137,2024-06-26,Delivered
O390,C16,2022-01-11,Cancelled
O391,C36,2022-04-08,Delivered
O392,C110,2024-07-20,Shipped
O393,C173,2025-08-22,Shipped
O394,C138,2024-04-11,Pending
O395,C51,2023-05-20,Delivered
O396,C144,2024-01-09,Cancelled
O397,C105,2023-10-17,Pending
O398,C199,2022-10-10,Cancelled
O399,C109,2023-08-14,Shipped
O400,C88,2025-07-18,Cancelled
O401,C24,2024-10-06,Pending
O402,C73,2024-08-05,Delivered
O403,C25,2022-10-20,Shipped
O404,C189,2024-11-04,Cancelled
O405,C85,2025-02-09,Pending
O406,C52,2025-02-13,Pending
O407,C66,2025-06-15,Delivered
O408,C144,2025-08-13,Delivered
O409,C38,2022-04-08,Delivered
O410,C123,2022-08-26,Pending
O411,C162,2023-02-27,Pending
O412,C79,2023-02-03,Pending
O413,C95,2024-05-08,Delivered
O414,C34,2024-02-18,Pending
O415,C20,2025-11-08,Shipped
O416,C64,2024-10-26,Pending
O417,C72,2024-02-05,Delivered
O418,C62,2022-12-16,Pending
O419,C112,2022-12-22,Delivered
O420,C157,2024-06-16,Shipped
O421,C59,2022-07-09,Delivered
O422,C35,2022-04-09,Pending
O423,C119,2022-01-18,Delivered
O424,C8,2023-01-21,Shipped
O425,C155,2025-10-13,Pending
O426,C70,2025-05-09,Pending
O427,C43,2023-01-20,Cancelled
O428,C188,2022-06-27,Pending
O429,C194,2025-12-23,Shipped
O430,C195,2025-06-27,Cancelled
O431,C38,2022-03-21,Pending
O432,C136,2024-06-02,Cancelled
O433,C9,2022-10-03,Delivered
O434,C58,2024-04-02,Delivered
O435,C177,2024-03-04,Delivered
O436,C57,2025-04-16,Cancelled
O437,C27,2023-04-07,Shipped
O438,C85,2025-03-13,Delivered
O439,C144,2022-08-19,Pending
O440,C30,2022-10-19,Delivered
O441,C53,2023-10-02,Shipped
O442,C104,2025-11-14,Delivered
O443,C195,2024-04-13,Shipped
O444,C41,2022-04-20,Pending
O445,C19,2025-02-25,Pending
O446,C82,2025-04-08,Shipped
O447,C101,2022-08-11,Cancelled
O448,C76,2023-10-06,Pending
O449,C25,2025-09-10,Cancelled
O450,C153,2024-02-12,Pending
O451,C191,2024-11-21,Delivered
O452,C124,2024-09-20,Cancelled
O453,C85,2022-10-22,Cancelled
O454,C38,2025-05-12,Cancelled
O455,C92,2025-02-01,Shipped
O456,C66,2024-04-15,Shipped
O457,C152,2024-01-16,Cancelled
O458,C14,2024-06-12,Delivered
O459,C56,2024-12-06,Pending
O460,C21,2025-02-03,Delivered
O461,C80,2025-05-05,Pending
O462,C65,2023-04-15,Shipped
O463,C63,2025-04-28,Pending
O464,C13,2023-09-15,Shipped
O465,C35,2024-11-10,Cancelled
O466,C163,2023-01-10,Cancelled
O467,C169,2023-01-27,Shipped
O468,C118,2025-06-16,Cancelled
O469,C113,2025-07-03,Cancelled
O470,C178,2023-12-15,Shipped
O471,C60,2025-08-24,Delivered
O472,C89,2023-03-18,Delivered
O473,C135,2024-05-05,Shipped
O474,C82,2023-08-04,Cancelled
O475,C186,2025-02-01,Shipped
O476,C61,2025-02-10,Delivered
O477,C135,2025-09-21,Shipped
O478,C148,2025-04-07,Shipped
O479,C51,2022-01-22,Cancelled
O480,C99,2023-11-20,Shipped
O481,C138,2025-03-16,Delivered
O482,C129,2024-10-06,Pending
O483,C88,2023-03-13,Delivered
O484,C190,2023-12-06,Shipped
O485,C132,2022-04-20,Cancelled
O486,C116,2023-04-23,Delivered
O487,C183,2024-02-28,Shipped
O488,C31,2025-11-24,Shipped
O489,C78,2024-05-10,Cancelled
O490,C48,2025-01-04,Pending
O491,C89,2024-07-16,Cancelled
O492,C12,2024-04-05,Pending
O493,C15,2022-08-25,Cancelled
O494,C98,2022-02-01,Shipped
O495,C181,2022-02-17,Pending
O496,C71,2022-02-08,Shipped
O497,C165,2024-04-08,Delivered
O498,C122,2025-07-13,Shipped
O499,C148,2022-06-25,Cancelled
O500,C101,2024-11-07,Cancelled
O501,C64,2025-06-26,Pending
O502,C193,2025-08-18,Delivered
O503,C42,2025-07-27,Pending
O504,C62,2022-10-08,Shipped
O505,C31,2022-08-02,Pending
O506,C36,2023-05-09,Shipped
O507,C94,2023-06-05,Shipped
O508,C1,2022-04-07,Delivered
O509,C62,2025-02-09,Pending
O510,C147,2025-04-26,Cancelled
O511,C168,2025-06-01,Cancelled
O512,C68,2024-11-14,Cancelled
O513,C43,2025-04-12,Cancelled
O514,C136,2022-02-03,Shipped
O515,C128,2022-11-21,Pending
O516,C99,2023-02-12,Shipped
O517,C83,2022-01-12,Shipped
O518,C139,2022-03-24,Cancelled
O519,C198,2024-02-05,Delivered
O520,C49,2022-10-11,Delivered
O521,C17,2022-11-04,Cancelled
O522,C86,2023-09-11,Delivered
O523,C70,2022-09-07,Pending
O524,C34,2022-12-14,Cancelled
O525,C73,2024-03-19,Shipped
O526,C189,2023-06-08,Shipped
O527,C35,2022-03-08,Delivered
O528,C166,2022-05-18,Cancelled
O529,C138,2024-04-18,Pending
O530,C103,2022-12-28,Cancelled
O531,C198,2025-07-10,Shipped
O532,C128,2023-05-09,Shipped
O533,C99,2025-03-16,Pending
O534,C73,2022-07-06,Cancelled
O535,C91,2023-07-14,Shipped
O536,C200,2024-11-28,Shipped
O537,C38,2025-10-24,Cancelled
O538,C58,2023-10-03,Shipped
O539,C123,2025-02-19,Shipped
O540,C73,2024-05-15,Shipped
O541,C68,2024-02-15,Cancelled
O542,C178,2025-07-06,Pending
O543,C8,2023-06-28,Delivered
O544,C71,2022-01-02,Cancelled
O545,C166,2025-11-19,Delivered
O546,C187,2024-03-03,Delivered
O547,C107,2022-04-26,Shipped
O548,C154,2023-09-25,Shipped
O549,C158,2024-08-09,Delivered
O550,C152,2024-06-18,Shipped
O551,C167,2022-11-28,Pending
O552,C173,2023-02-02,Pending
O553,C146,2022-10-26,Shipped
O554,C110,2022-03-03,Cancelled
O555,C106,2024-06-20,Delivered
O556,C7,2025-09-24,Cancelled
O557,C115,2023-06-22,Shipped
O558,C196,2022-09-04,Shipped
O559,C58,2024-12-28,Shipped
O560,C165,2023-11-22,Delivered
O561,C148,2022-11-08,Delivered
O562,C141,2024-04-21,Shipped
O563,C68,2025-01-05,Cancelled
O564,C71,2025-04-20,Cancelled
O565,C99,2023-10-13,Delivered
O566,C76,2025-03-16,Delivered
O567,C85,2023-10-07,Pending
O568,C57,2022-07-17,Pending
O569,C73,2024-08-14,Shipped
O570,C11,2024-01-19,Shipped
O571,C150,2023-07-03,Shipped
O572,C194,2022-11-04,Shipped
O573,C56,2023-07-25,Cancelled
O574,C38,2024-05-26,Delivered
O575,C33,2023-03-23,Delivered
O576,C115,2025-01-09,Shipped
O577,C89,2025-01-04,Pending
O578,C69,2024-02-11,Pending
O579,C171,2022-09-17,Cancelled
O580,C139,2024-08-05,Cancelled
O581,C35,2023-10-04,Delivered
O582,C183,2025-06-17,Shipped
O583,C152,2023-01-27,Shipped
O584,C132,2024-03-15,Cancelled
O585,C49,2022-02-14,Cancelled
O586,C61,2023-07-02,Shipped
O587,C165,2025-03-19,Shipped
O588,C165,2023-10-13,Pending
O589,C19,2022-07-24,Shipped
O590,C81,2023-03-10,Cancelled
O591,C121,2024-01-21,Delivered
O592,C91,2023-05-24,Delivered
O593,C145,2024-12-23,Delivered
O594,C42,2023-11-15,Shipped
O595,C71,2024-05-07,Shipped
O596,C160,2022-04-15,Cancelled
O597,C161,2023-04-17,Pending
O598,C152,2024-03-19,Pending
O599,C43,2023-10-10,Cancelled
O600,C55,2025-06-07,Shipped
O601,C10,2023-05-08,Delivered
O602,C150,2024-05-11,Shipped
O603,C76,2023-03-05,Delivered
O604,C102,2024-12-01,Pending
O605,C176,2022-04-05,Shipped
O606,C92,2023-01-15,Delivered
O607,C98,2023-04-26,Cancelled
O608,C156,2024-09-14,Delivered
O609,C33,2022-09-09,Cancelled
O610,C9,2023-11-20,Delivered
O611,C61,2023-05-15,Pending
O612,C170,2022-07-22,Shipped
O613,C76,2025-10-22,Shipped
O614,C6,2025-02-14,Shipped
O615,C181,2022-07-02,Pending
O616,C153,2024-08-09,Pending
O617,C69,2024-11-27,Delivered
O618,C196,2023-05-10,Shipped
O619,C14,2023-08-01,Delivered
O620,C124,2022-04-07,Cancelled
O621,C84,2022-10-27,Delivered
O622,C62,2023-07-28,Pending
O623,C118,2024-08-02,Pending
O624,C115,2023-07-02,Pending
O625,C178,2025-03-20,Delivered
O626,C64,2025-12-16,Shipped
O627,C176,2024-07-23,Delivered
O628,C77,2022-04-17,Shipped
O629,C26,2024-03-19,Shipped
O630,C22,2024-05-19,Pending
O631,C57,2022-10-24,Pending
O632,C127,2024-03-20,Cancelled
O633,C71,2023-06-05,Cancelled
O634,C118,2022-10-08,Shipped
O635,C19,2022-02-11,Shipped
O636,C161,2024-12-05,Shipped
O637,C13,2025-02-23,Cancelled
O638,C73,2025-07-02,Delivered
O639,C121,2023-12-12,Pending
O640,C83,2022-03-10,Shipped
O641,C49,2023-05-26,Pending
O642,C112,2024-02-24,Pending
O643,C11,2025-06-13,Pending
O644,C21,2024-05-20,Pending
O645,C28,2025-02-08,Shipped
O646,C117,2023-10-21,Pending
O647,C62,2024-07-11,Shipped
O648,C78,2022-04-09,Delivered
O649,C84,2022-11-16,Pending
O650,C8,2024-05-09,Shipped
O651,C66,2022-12-19,Pending
O652,C49,2024-01-21,Pending
O653,C161,2022-06-18,Delivered
O654,C29,2025-07-15,Cancelled
O655,C196,2023-03-14,Shipped
O656,C135,2024-07-11,Shipped
O657,C83,2024-03-01,Cancelled
O658,C140,2024-07-23,Shipped
O659,C132,2024-03-16,Cancelled
O660,C122,2024-11-21,Delivered
O661,C131,2022-09-24,Delivered
O662,C53,2024-09-24,Pending
O663,C58,2024-09-20,Cancelled
O664,C146,2025-11-22,Pending
O665,C88,2025-06-05,Delivered
O666,C49,2025-10-20,Delivered
O667,C128,2024-08-11,Pending
O668,C22,2024-12-28,Pending
O669,C182,2025-12-21,Cancelled
O670,C187,2025-04-19,Pending
O671,C91,2024-05-15,Delivered
O672,C45,2023-04-07,Shipped
O673,C133,2024-02-11,Pending
O674,C182,2024-01-19,Cancelled
O675,C61,2024-07-26,Pending
O676,C9,2022-09-27,Cancelled
O677,C164,2024-03-05,Pending
O678,C63,2024-10-04,Cancelled
O679,C147,2025-12-09,Delivered
O680,C66,2023-06-22,Pending
O681,C56,2024-10-05,Cancelled
O682,C197,2025-03-22,Cancelled
O683,C94,2024-09-07,Shipped
O684,C34,2023-09-15,Delivered
O685,C191,2024-02-16,Shipped
O686,C22,2024-12-19,Cancelled
O687,C78,2023-10-19,Pending
O688,C165,2025-12-13,Pending
O689,C148,2025-06-04,Cancelled
O690,C107,2025-07-28,Pending
O691,C1,2022-03-25,Delivered
O692,C63,2025-08-23,Delivered
O693,C69,2023-02-14,Cancelled
O694,C84,2024-05-05,Shipped
O695,C40,2022-04-14,Delivered
O696,C168,2024-04-09,Shipped
O697,C134,2025-04-27,Pending
O698,C183,2023-10-25,Cancelled
O699,C158,2023-03-17,Shipped
O700,C161,2025-10-16,Pending
O701,C102,2025-03-11,Pending
O702,C40,2022-12-27,Shipped
O703,C36,2022-06-16,Delivered
O704,C8,2025-08-16,Delivered
O705,C44,2023-09-18,Delivered
O706,C43,2025-09-06,Shipped
O707,C8,2024-03-06,Delivered
O708,C79,2024-01-04,Delivered
O709,C18,2025-12-17,Pending
O710,C83,2025-12-20,Cancelled
O711,C7,2023-09-26,Pending
O712,C16,2023-01-26,Delivered
O713,C28,2024-02-25,Cancelled
O714,C157,2024-07-13,Pending
O715,C13,2022-10-23,Delivered
O716,C67,2024-04-05,Pending
O717,C119,2025-01-10,Delivered
O718,C39,2024-03-09,Cancelled
O719,C58,2023-11-16,Cancelled
O720,C31,2025-05-10,Shipped
O721,C122,2023-02-28,Shipped
O722,C14,2023-05-03,Shipped
O723,C111,2025-10-21,Shipped
O724,C156,2023-01-03,Shipped
O725,C111,2023-03-23,Shipped
O726,C14,2024-03-12,Cancelled
O727,C69,2022-12-17,Cancelled
O728,C32,2024-03-09,Pending
O729,C189,2023-04-03,Pending
O730,C109,2022-12-20,Delivered
O731,C51,2022-06-07,Delivered
O732,C17,2025-03-27,Delivered
O733,C95,2022-07-05,Delivered
O734,C30,2025-03-20,Delivered
O735,C128,2024-02-11,Delivered
O736,C109,2024-12-19,Cancelled
O737,C151,2025-12-21,Shipped
O738,C71,2022-05-17,Cancelled
O739,C54,2024-09-03,Pending
O740,C11,2024-08-10,Shipped
O741,C167,2022-03-23,Shipped
O742,C141,2022-09-27,Shipped
O743,C134,2025-03-28,Delivered
O744,C77,2023-09-01,Delivered
O745,C3,2023-10-02,Pending
O746,C93,2024-09-02,Pending
O747,C12,2024-09-10,Pending
O748,C177,2022-12-10,Cancelled
O749,C84,2024-02-08,Cancelled
O750,C104,2025-04-23,Delivered
O751,C27,2022-05-01,Pending
O752,C61,2025-12-27,Delivered
O753,C106,2025-02-13,Delivered
O754,C119,2025-06-20,Cancelled
O755,C147,2022-03-26,Shipped
O756,C194,2023-04-02,Shipped
O757,C30,2022-01-01,Pending
O758,C41,2025-05-23,Cancelled
O759,C136,2023-08-02,Pending
O760,C125,2025-12-03,Delivered
O761,C117,2022-03-03,Shipped
O762,C51,2025-09-01,Pending
O763,C52,2022-10-15,Pending
O764,C156,2025-12-06,Delivered
O765,C154,2022-07-18,Cancelled
O766,C106,2025-09-07,Delivered
O767,C112,2022-09-17,Shipped
O768,C134,2023-03-02,Cancelled
O769,C160,2023-03-07,Delivered
O770,C19,2023-02-09,Cancelled
O771,C168,2025-04-18,Delivered
O772,C69,2023-09-15,Shipped
O773,C156,2025-11-06,Cancelled
O774,C70,2023-10-02,Pending
O775,C9,2025-03-21,Pending
O776,C177,2023-08-21,Shipped
